idle, timer, state
4250,10037,3
4406,5419,3
621,660,3
2343,2395,3
9,7003,1
413,6947,3
4339,6230,3
405,1499,3
815,872,3
1122,2287,3
821,869,3
2829,30352,3
4354,27137,3
4361,22423,3
4024,17518,3
4285,13088,3
2283,8412,3
53,5740,1
1340,5411,3
1963,3688,3
520,1450,3
566,630,3
610,663,3
785,851,3
780,841,3
657,847,3
811,860,3
773,830,3
708,763,3
776,834,3
223,807,2
201,234,2
886,935,3
760,820,3
775,834,3
897,25604,3
85,24335,1
3684,23755,3
4316,19706,3
4394,15031,3
2288,10263,3
1492,7355,3
4393,5522,3
664,725,3
765,897,3
840,886,3
769,828,3
103,831,2
314,420,3
839,898,3
754,818,3
1741,12818,3
3909,10342,3
4347,6088,3
318,1411,3
811,876,3
2739,80918,3
4347,77805,3
4318,73040,3
4397,68357,3
4172,63591,3
4135,59026,3
4392,54577,3
4360,49821,3
4205,44923,3
1185,40357,3
9,38783,1
2697,16038,3
4314,12989,3
4189,8297,3
3648,3730,3
219,15982,2
4350,15467,3
4322,10716,3
4355,6020,3
449,1280,3
540,605,3
9,6144,1
2809,6086,3
2864,2929,3
379,514,3
513,923,3
138,120,2
870,963,3
815,892,3
790,862,3
670,864,3
81,1206,1
502,853,3
104,134,2
2619,2667,3
417,5716,3
4283,4931,3
206,292,2
1002,3059,3
1680,1789,3
639,6853,3
4400,5913,3
766,1153,3
119,149,2
492,1545,3
771,835,3
1259,10732,3
4163,9169,3
4125,8093,3
3508,3599,3
515,2221,3
277,1386,2
801,879,3
2759,10728,3
2216,7596,3
10,7775,1
1741,7718,3
4408,5590,3
67,824,1
686,737,3
9,2004,1
1895,1948,3
728,13604,3
4338,12573,3
98,7860,1
3810,7538,3
230,3359,2
2814,2879,3
679,2683,3
638,1701,3
751,817,3
2434,10734,3
2909,7908,3
1033,6979,3
4383,5638,3
496,873,3
105,135,2
3366,3557,3
4376,5309,3
99,585,1
398,465,3
255,279,2
872,924,3
771,834,3
735,834,3
59,873,1
238,516,2
73,944,1
699,746,3
777,833,3
296,305,2
327,318,3
745,909,3
742,837,3
3245,9345,3
4375,5731,3
404,985,3
300,336,3
3284,4082,3
330,439,3
3768,16030,3
9,11889,1
4331,11836,3
4391,7155,3
2323,2391,3
1661,4189,3
2091,2156,3
1933,11521,3
4372,9221,3
4353,4467,3
4382,11870,3
4157,6987,3
2349,2456,3
1590,32250,3
2099,30313,3
145,1022,2
660,787,3
767,2025,3
38,986,1
809,936,3
1851,4034,3
1157,2001,3
456,642,3
3477,8041,3
136,4365,2
3804,4047,3
45,45,1
4062,6876,3
2495,2616,3
1450,5684,3
3825,4048,3
45,44,1
30,170,1
85,72,1
874,983,3
799,909,3
817,926,3
120,119,2
726,812,3
55,926,1
367,763,3
158,182,2
841,960,3
832,958,3
866,964,3
355,936,3
365,383,3
824,951,3
2687,4812,3
1795,1921,3
677,5764,3
148,4919,2
617,10587,3
4124,9752,3
4199,5426,3
24,1018,1
864,988,3
3107,8189,3
2544,4884,3
1380,2143,3
216,576,2
166,191,2
394,480,3
862,903,3
792,836,3
738,832,3
651,737,3
851,893,3
2259,2831,3
212,246,2
3991,10931,3
1307,6625,3
2732,6452,3
3325,3367,3
600,3321,3
2348,2411,3
1552,39442,3
4212,37537,3
4400,32945,3
4361,28182,3
4236,23464,3
4237,18813,3
4368,14202,3
4381,9472,3
4431,4693,3
4297,35601,3
4370,30934,3
4233,26182,3
2379,21573,3
1727,16016,3
4365,13911,3
4260,9166,3
4258,4498,3
2712,2777,3
1355,68900,3
4437,67237,3
4247,62451,3
1995,57841,3
2175,55593,3
2066,53053,3
57,50608,1
1579,50258,3
3551,48325,3
181,44339,2
4224,43869,3
4252,39346,3
4279,34748,3
4169,30120,3
4105,25542,3
4352,21117,3
4373,16401,3
4396,11598,3
4349,6820,3
2012,2093,3
1914,30759,3
4338,28478,3
3209,23753,3
400,19982,3
4278,19296,3
4148,14663,3
4384,10144,3
4353,5386,3
604,668,3
3445,70615,3
4191,66812,3
4362,62312,3
4272,57584,3
4357,52942,3
1471,48209,3
41,46470,1
2405,46256,3
4203,43517,3
4333,38980,3
4212,34307,3
4401,29725,3
4364,24955,3
4369,20225,3
4349,15484,3
4353,10784,3
4301,6122,3
1438,1481,3
2477,29204,3
4352,26347,3
4344,21621,3
4362,16904,3
4239,12174,3
4343,7579,3
2831,2898,3
1169,41866,3
4247,40402,3
4358,35758,3
4335,31042,3
4368,26358,3
3274,21616,3
37,18074,1
477,17890,3
4007,17072,3
4327,12713,3
4215,8018,3
3364,3431,3
403,463,3
49,802,1
524,582,3
781,842,3
768,831,3
775,837,3
680,857,3
760,811,3
761,819,3
770,833,3
765,17556,3
412,16561,3
4229,15796,3
4331,11216,3
4316,6536,3
901,1878,3
56,712,1
291,317,2
2254,38762,3
4336,36143,3
2940,31440,3
667,27938,3
4354,26906,3
4344,22185,3
4363,17484,3
4402,12756,3
4353,7987,3
3263,3316,3
819,34621,3
4429,33450,3
4352,28655,3
4363,23919,3
578,19184,3
40,18343,1
3200,18148,3
4191,14596,3
4308,10048,3
4156,5387,3
220,865,2
392,420,3
3399,39000,3
4359,35240,3
4367,30498,3
4407,25759,3
4223,20988,3
4077,16413,3
234,11977,2
3918,11544,3
4397,7288,3
2426,2497,3
1519,39005,3
1617,37171,3
193,996,2
604,710,3
1124,2021,3
444,554,3
3345,4027,3
195,362,2
85,83,1
3607,8045,3
3954,4115,3
4011,19562,3
3984,15238,3
7,10934,1
3937,10895,3
4005,6654,3
2237,2333,3
1500,8991,3
1004,7222,3
